location 	rooms 	housetype 	area 	price 	unitprice 	year 	floor 	elevator 	condition 	lot 	energy
Kallio 	2h, kk, kph 	kt 	42,00 	260000 	6190 	1963 	5/7 	on 	hyvä 	oma 	E2013
Kallio 	2 h, kph, k, vh... 	kt 	48,00 	330000 	6875 	1958 	4/8 	on 	tyyd. 	oma 	G2013
Keskusta 	2h, k 	kt 	69,60 	680000 	9770 	1905 	4/6 	on 	tyyd. 	oma 	
Katajanokka 	2 h, k, kh, p 	kt 	49,00 	288500 	5888 	1981 	4/6 	on 	hyvä 	vuokra 	D2007
Meilahti 	2 h+halli+kk+kph 	kt 	44,00 	294000 	6682 	1945 	7/7 	on 	hyvä 	oma 	E2007
Hermanni 	2h, kk 	kt 	47,00 	265000 	5638 	1957 	6/6 	on 	hyvä 	vuokra 	E2007
Meri-rastila 	2h, kt, kph, la... 	kt 	48,50 	165000 	3402 	1991 	2/2 	ei 	hyvä 	vuokra 	F2013
Itä-pasila 	2 h, k, p 	kt 	49,00 	176000 	3592 	1975 	4/8 	on 	huono 	vuokra 	F2007
Tapaninvainio 	2h+k+s+vh+piha 	kt 	52,50 	186500 	3552 	1984 	1/2 	ei 	tyyd. 	oma 	F2013
Mellunmäki 	2h, k, kph, par... 	kt 	55,00 	105000 	1909 	1968 	1/3 	ei 	tyyd. 	oma 	D2007
Mellunmäki 	2h, k, kph, eri... 	kt 	65,00 	135000 	2077 	1971 	1/5 	on 	tyyd. 	oma 	
Töölö 	2h+k 	kt 	66,00 	459000 	6955 	1929 	4/6 	on 	hyvä 	oma 	F2018
Pitäjänmäki 	2h,kt 	kt 	39,50 	239700 	6068 	2019 	8/8 	on 	hyvä 	vuokra 	C2018
Punavuori 	1h, ikkunalline... 	kt 	43,50 	378000 	8690 	1910 	4/4 	ei 	hyvä 	oma 	E2013
Punavuori 	2h, k, kph 	kt 	46,00 	340000 	7391 	1938 	1/7 	on 	hyvä 	oma 	E2007
Vuosaari 	2h, k, kph, vh,... 	kt 	53,50 	168000 	3140 	1965 	2/3 	ei 	hyvä 	oma 	F2013
Etelä-haaga 	2h, k, kph, s ,... 	kt 	54,50 	260000 	4771 	1984 	3/3 	ei 	tyyd. 	oma 	D2018
Niemenmäki 	2h+k+kph+parveke 	kt 	59,00 	300000 	5085 	1964 	5/7 	on 	tyyd. 	oma 	E2007
Etelä-haaga 	2h, k, vh, kph,... 	kt 	60,00 	205000 	3417 	1957 	1/4 	ei 	tyyd. 	oma 	E2013
Ruskeasuo 	2 h, k, kph, pa... 	kt 	62,00 	342000 	5516 	1955 	2/4 	ei 	tyyd. 	oma 	E2013
Punavuori 	2h, k 	kt 	46,00 	345000 	7500 	1961 	4/5 	on 	hyvä 	oma 	E2007
Punavuori 	2h+k 	kt 	48,00 	386000 	8042 	1952 	5/5 	on 	hyvä 	oma 	E2013
Puotila 	2 h + k + kph + p 	kt 	48,50 	157000 	3237 	1961 	3/3 	ei 	tyyd. 	vuokra 	E2007
Oulunkylä 	2h, k + las. pa... 	kt 	60,00 	170200 	2837 	1963 	2/3 	ei 	tyyd. 	oma 	D
Tapaninkylä 	2 h, k, kh, s, ... 	rt 	61,00 	198000 	3246 	1988 	1/1 	ei 	tyyd. 	oma 	F2013
Ullanlinna 	2-3h+avok (yhti... 	kt 	63,00 	480000 	7619 	1957 	3/5 	on 	hyvä 	oma 	F2013
Töölö 	2h, k, alk, hal... 	kt 	72,00 	530000 	7361 	1938 	6/6 	ei 	hyvä 	oma 	D2007
Ullanlinna 	2h+k+kph 	kt 	78,00 	540000 	6923 	1970 	2/7 	on 	tyyd. 	oma 	F2013
Kamppi 	2h, k, kph, vh 	kt 	80,00 	560000 	7000 	1914 	4/4 	on 	hyvä 	oma 	
Pitäjänmäki 	2-4 h, avok, kp... 	kt 	115,00 	630000 	5478 	2009 	3/3 	on 	hyvä 	oma 	F2013
Vallila 	2h+kk 	kt 	40,70 	215000 	5283 	1956 	3/3 	ei 	tyyd. 	vuokra 	F2013
Myllypuro 	2h, kk, kph, la... 	kt 	43,00 	155000 	3605 	1964 	2/3 	ei 	hyvä 	vuokra 	
Konala 	2h, avok, kph 	kt 	43,50 	149000 	3425 	1962 	3/4 	ei 	tyyd. 	oma 	E2018
Myllypuro 	2h, kk, kph, vh, p 	kt 	50,50 	175000 	3465 	1964 	3/7 	on 	tyyd. 	vuokra 	E2007
Mellunmäki 	2h, k, kph, las... 	kt 	55,00 	134000 	2436 	1971 	1/3 	ei 	hyvä 	oma 	
Kruununhaka 	2h+k+kph 	kt 	43,00 	341000 	7930 	1956 	1/4 	ei 	hyvä 	oma 	E2007
Itä-pasila 	2h + kk + parveke 	kt 	47,00 	191000 	4064 	1976 	5/7 	on 	huono 	vuokra 	
Pitäjänmäki 	2h, kk 	kt 	47,50 	220500 	4642 	2001 	4/5 	on 	hyvä 	oma 	E2013
Etelä-haaga 	2h+k+p 	kt 	48,00 	182500 	3802 	1959 	1/3 	ei 	hyvä 	vuokra 	E2018
Pikku huopalahti 	2h, avok, kph, ... 	kt 	48,00 	234330 	4882 	1994 	4/5 	on 	tyyd. 	vuokra 	F2007
Konala 	2h,k,p 	kt 	49,00 	186000 	3796 	1969 	3/4 	on 	tyyd. 	oma 	G2013
Oulunkylä 	2h, k, p 	kt 	51,00 	175000 	3431 	1964 	3/3 	ei 	tyyd. 	oma 	G2013
Taka-töölö 	2h, kk, kph 	kt 	51,00 	300000 	5882 	1939 	1/6 	on 	tyyd. 	oma 	
Aurinkolahti 	2h, k, kph, s, p 	kt 	53,00 	240000 	4528 	2006 	3/24 	on 	tyyd. 	oma 	E2013
Pihlajamäki 	2h, k, kph, par... 	kt 	60,00 	168165 	2803 	1964 	3/4 	ei 	hyvä 	vuokra 	
Ullanlinna 	2h, palv.h, alk... 	kt 	77,00 	610000 	7922 	1926 	2/5 	on 	tyyd. 	oma 	E2013
Kuninkaantammi 	2h, kt 	kt 	42,50 	213000 	5012 	2019 	3/4 	on 	hyvä 	  	C2013
Jätkäsaari 	2h, kt 	kt 	43,00 	275200 	6400 	2021 	5/5 	on 	hyvä 	vuokra 	B2018
Vallila 	2h,avok. kh,par... 	kt 	49,00 	311000 	6347 	1953 	5/7 	on 	tyyd. 	oma 	E2013
Tapanila 	2h+k+parveke (y... 	kt 	51,00 	163000 	3196 	1974 	3/3 	ei 	hyvä 	oma 	F2007
Oulunkylä 	2h, k, kph, las... 	kt 	54,00 	196000 	3630 	1965 	3/3 	ei 	tyyd. 	oma 	B2018
Pohjois-haaga 	2h, k, kph, s, ... 	kt 	54,50 	227000 	4165 	1985 	3/3 	ei 	hyvä 	oma 	D2007
Viikki 	2h+k+s+kph+lasi... 	kt 	57,50 	250000 	4348 	2008 	3/5 	on 	hyvä 	vuokra 	E2013
Munkkiniemi 	2h+k+kph 	kt 	60,00 	305000 	5083 	1937 	1/6 	on 	tyyd. 	oma 	D2007
Kallio 	2h, kk, kph 	kt 	42,00 	289000 	6881 	1938 	6/6 	on 	tyyd. 	oma 	F2013
Vallila 	2h+kk+kph 	kt 	45,00 	200000 	4444 	1914 	2/2 	ei 	tyyd. 	vuokra 	G2013
Vuosaari 	2h+k 	kt 	51,50 	148500 	2883 	1965 	3/3 	ei 	hyvä 	oma 	E2007
Puotila 	2h+k+kh+p 	kt 	55,00 	183000 	3327 	1961 	3/3 	ei 	hyvä 	vuokra 	F2013
Kamppi 	2h, k, kph, s, ... 	kt 	63,50 	414000 	6520 	1988 	8/8 	on 	tyyd. 	vuokra 	C2007
Ruskeasuo 	2h, kk 	kt 	37,00 	260000 	7027 	1948 	2/3 	ei 	hyvä 	oma 	E2007
Länsi-pasila 	2h+kk 	kt 	45,00 	225000 	5000 	1987 	4/5 	on 	tyyd. 	vuokra 	E2007
Vallila 	2h+kk+s 	kt 	45,00 	283000 	6289 	1923 	4/4 	ei 	hyvä 	vuokra 	D2013
Roihuvuori 	2h+k+vh+kph 	kt 	49,50 	185000 	3737 	1957 	1/4 	ei 	tyyd. 	vuokra 	G2013
Puistola 	2h, avok, s-osa... 	rt 	50,00 	191000 	3820 	1981 	1/2 	ei 	hyvä 	vuokra 	D2018
Tapaninvainio 	2h+k+p 	kt 	50,70 	173000 	3412 	1971 	2/3 	ei 	tyyd. 	oma 	E2007
Vuosaari 	2 h, k, kph, la... 	kt 	51,00 	169000 	3314 	1965 	1/3 	ei 	hyvä 	oma 	F2007
Lassila 	2h, avok., kph,... 	kt 	57,50 	237850 	4137 	1982 	2/3 	ei 	hyvä 	oma 	G2013
Punavuori 	2h+kk+lasitettu... 	kt 	36,00 	292500 	8125 	1962 	2/5 	on 	hyvä 	oma 	F2013
Konala 	2h, kk,vh,p 	kt 	44,00 	163000 	3705 	1963 	4/5 	on 	hyvä 	oma 	G2013
Malminkartano 	2h+kk+sauna/kph... 	kt 	45,50 	185700 	4081 	2003 	2/4 	on 	hyvä 	vuokra 	F2007
Konepaja 	2h, avok, s, p 	kt 	49,00 	358700 	7320 	2016 	3/7 	on 	hyvä 	oma 	E2007
Myllypuro 	2h, k, kph, vh,... 	kt 	52,00 	177000 	3404 	1966 	7/7 	on 	tyyd. 	vuokra 	E
Etelä-haaga 	2h+kk+kph+vh+pa... 	kt 	35,00 	187000 	5343 	1963 	2/4 	ei 	hyvä 	oma 	F2013
Ullanlinna 	2h, avok, kph, ... 	kt 	36,00 	353000 	9806 	1963 	7/8 	on 	tyyd. 	oma 	F2015
Etelä-haaga 	2h, kk, ranskal... 	kt 	39,00 	242000 	6205 	1961 	2/3 	ei 	hyvä 	oma 	E2018
Itä-pasila 	2h+kk+kph+vh+la... 	kt 	47,50 	189000 	3979 	1977 	2/8 	on 	tyyd. 	vuokra 	F2013
Lauttasaari 	2h, avok, kph, ... 	kt 	53,00 	365000 	6887 	2014 	1/6 	on 	hyvä 	oma 	B2007
Myllypuro 	2h+k+kph+lasite... 	kt 	54,50 	173000 	3174 	1964 	1/3 	ei 	hyvä 	vuokra 	E2018
Etelä-haaga 	2h, ikk. kk, kph 	kt 	37,00 	222000 	6000 	1963 	2/3 	on 	hyvä 	vuokra 	E2007
Konala 	2h+avok (yht. j... 	kt 	43,50 	175000 	4023 	1962 	4/4 	ei 	hyvä 	oma 	F2013
Kallio 	2h, kk, alkovi,... 	kt 	46,00 	250000 	5435 	1938 	2/6 	on 	tyyd. 	oma 	F2013
Vuosaari 	2h, avok, kph, ... 	kt 	49,50 	186000 	3758 	1994 	4/5 	on 	hyvä 	vuokra 	F
Pukinmäki 	2h, k, kph, par... 	kt 	54,00 	141000 	2611 	1972 	1/3 	ei 	hyvä 	oma 	E2013
Aurinkolahti 	2h, k, kph, las... 	kt 	58,00 	315000 	5431 	2013 	4/5 	on 	hyvä 	oma 	A2007
Kamppi 	2, k, alkovi, k... 	kt 	58,00 	475000 	8190 	1929 	2/5 	on 	hyvä 	oma 	
Taka-töölö 	2h, kk 	kt 	52,00 	313000 	6019 	1938 	3/6 	on 	hyvä 	oma 	D2007
Lauttasaari 	2h, avokeitti&#... 	kt 	53,00 	335000 	6321 	1938 	7/7 	on 	tyyd. 	oma 	F2013
Koskela 	2 h+k+kh+vh+par... 	kt 	62,00 	159000 	2565 	1972 	5/6 	on 	huono 	vuokra 	F2013
Mellunkylä 	2h, k, kph, s, ... 	kt 	62,00 	167000 	2694 	1989 	2/3 	ei 	hyvä 	vuokra 	E2007
Pukinmäki 	2h, avok, kph, ... 	kt 	42,00 	168000 	4000 	1985 	2/2 	ei 	hyvä 	oma 	
Yliskylä 	2h, k, lasitett... 	kt 	52,00 	130000 	2500 	1975 	1/3 	ei 	huono 	oma 	F2013
Puotila 	2h, avok, kph, ... 	kt 	57,00 	255000 	4474 	2006 	2/5 	on 	hyvä 	oma 	D
Munkkiniemi 	2 h, avokeitti&... 	kt 	42,00 	280000 	6667 	1939 	4/4 	on 	hyvä 	oma 	E2007
Siltamäki 	2h+pk 	kt 	50,00 	118000 	2360 	1974 	1/2 	ei 	hyvä 	vuokra 	G2013
Mellunmäki 	2h,k,kph,las.p. 	kt 	50,00 	120000 	2400 	1975 	3/3 	ei 	hyvä 	oma 	E2007
Etelä-haaga 	2h, k, kph, p 	kt 	50,50 	255000 	5050 	1964 	3/3 	ei 	hyvä 	oma 	G2013
Itä-pasila 	2h, k, kph, las... 	kt 	56,50 	226500 	4009 	1977 	5/12 	on 	hyvä 	vuokra 	F2013
Töölö 	2h, k, s 	kt 	97,50 	742000 	7610 	1934 	5/5 	on 	tyyd. 	oma 	D2007
Vuosaari 	2h, kk, kph, s, p 	kt 	44,00 	196000 	4455 	2012 	4/6 	on 	hyvä 	vuokra 	B
Maunula 	2h, k, kph, vh,... 	kt 	44,50 	180000 	4045 	1964 	2/4 	on 	hyvä 	vuokra 	F2015
Sörnäinen 	2h+tupak+parveke 	kt 	50,00 	278000 	5560 	1962 	3/8 	on 	hyvä 	oma 	G2013
Kannelmäki 	2h, k, kph, vh,... 	kt 	54,50 	150000 	2752 	1977 	2/3 	ei 	hyvä 	vuokra 	E2007
Herttoniemenranta 	2h, avok, kph, ... 	kt 	56,50 	316000 	5593 	2008 	2/7 	on 	hyvä 	vuokra 	E2013
Pihlajamäki 	2h+k+kh+p 	kt 	58,00 	136000 	2345 	1964 	3/4 	ei 	tyyd. 	vuokra 	E2013
Siltamäki 	2h, k, erill wc... 	rt 	62,00 	175000 	2823 	1985 	1/2 	ei 	hyvä 	oma 	F2013
Alppikylä 	2h+avok+varasto 	rt 	53,00 	220500 	4160 	2017 	1/1 	ei 	hyvä 	vuokra 	C
Alppila 	2h, avokeitti&#... 	kt 	53,00 	242000 	4566 	1936 	1/4 	ei 	hyvä 	oma 	
Punavuori 	2h+k+kph 	kt 	55,00 	395000 	7182 	1938 	4/6 	on 	tyyd. 	oma 	F2013
Mellunkylä 	2h, k, rt, kph/... 	rt 	56,00 	183000 	3268 	1989 	1/1 	ei 	tyyd. 	oma 	
Puotila 	2h+kk 	kt 	43,00 	174000 	4047 	1962 	2/3 	ei 	hyvä 	oma 	F2007
Lauttasaari 	2h+avok+kph+s+l... 	kt 	44,50 	345000 	7753 	2005 	5/6 	on 	hyvä 	oma 	F2013
Munkkivuori 	2h, k, kph, p 	kt 	54,00 	250000 	4630 	1958 	4/4 	ei 	hyvä 	vuokra 	
Kallio 	2h, k, kph, p 	kt 	55,00 	300000 	5455 	1962 	1/7 	on 	hyvä 	oma 	
Meilahti 	2h, kk 	kt 	31,50 	238000 	7556 	1939 	5/6 	on 	tyyd. 	oma 	D2007
Taka-töölö 	2h,k,sauna,vh,l... 	kt 	63,00 	648000 	10286 	1998 	4/6 	on 	hyvä 	oma 	E2007
Malmi 	2 h + kk + lasi... 	kt 	43,50 	148000 	3402 	1986 	3/3 	ei 	hyvä 	vuokra 	E2013
Helsinki 	2 h, k, p () 	kt 	50,00 	194000 	3880 	1955 	4/4 	ei 	huono 	vuokra 	
Roihuvuori 	2h, kk, kph, p 	kt 	50,50 	144000 	2851 	1965 	1/5 	ei 	tyyd. 	oma 	G2013
Harju 	2h+k+parveke 	kt 	52,50 	338000 	6438 	1952 	7/8 	on 	hyvä 	oma 	E2007
Aurinkolahti 	2h+k+kph+s+p 	kt 	56,00 	286000 	5107 	2004 	4/4 	on 	hyvä 	oma 	E2007
Jätkäsaari 	2h, kt 	kt 	40,00 	238000 	5950 	2021 	2/7 	on 	hyvä 	vuokra 	B2018
Pitäjänmäki 	2h+k+kph+lasit.... 	kt 	47,50 	142000 	2989 	1973 	4/6 	on 	tyyd. 	oma 	F2013
Mellunmäki 	2h, k, kph + la... 	kt 	55,50 	128500 	2315 	1975 	2/3 	ei 	tyyd. 	oma 	E2007
Malmi 	2h+k+las.parv 	kt 	58,00 	181000 	3121 	1967 	4/4 	on 	tyyd. 	oma 	D2007
Kamppi 	2-3 h, k, kph, vh 	kt 	76,00 	505000 	6645 	1929 	2/5 	on 	tyyd. 	oma 	E2007
Konala 	2h, kk, kph, la... 	kt 	39,00 	129500 	3321 	1963 	2/3 	ei 	hyvä 	oma 	F2013
Lauttasaari 	2 huonetta, kei... 	kt 	56,50 	336000 	5947 	1975 	2/7 	on 	hyvä 	oma 	F2013
Itä-pakila 	2h, k, kph, s, ... 	rt 	63,50 	231000 	3638 	1979 	1/1 	ei 	tyyd. 	oma 	D2018
Länsi-pasila 	2h, avok, kh, p... 	kt 	52,50 	245000 	4667 	1987 	3/4 	ei 	tyyd. 	vuokra 	E2007
Kannelmäki 	2h+k+kph+las.p 	kt 	56,00 	162000 	2893 	1989 	3/3 	ei 	hyvä 	vuokra 	E2007
Alppiharju 	2h,kk,kh 	kt 	56,00 	281000 	5018 	1946 	7/8 	ei 	huono 	oma 	D2013
Heikinlaakso 	2h,k,s 	rt 	57,00 	210000 	3684 	1985 	1/1 	ei 	hyvä 	oma 	D
Laajasalo 	2h+k+kph+p 	kt 	60,00 	139000 	2317 	1970 	2/3 	ei 	tyyd. 	vuokra 	E2013
Maunula 	2h,kk,kph,vh, p... 	kt 	40,90 	129000 	3154 	1971 	2/4 	on 	tyyd. 	vuokra 	E2013
Siltamäki 	2h+k+kph+p 	kt 	62,00 	123473 	1992 	1969 	2/2 	ei 	tyyd. 	oma 	G2013
Kamppi 	2h+k+s 	kt 	65,00 	489000 	7523 	1927 	2/6 	on 	hyvä 	oma 	C2007
Töölö 	2h, avok, kph 	kt 	48,00 	391000 	8146 	1931 	2/6 	on 	hyvä 	oma 	D2007
Länsi-pasila 	2h, keittiö... 	kt 	57,50 	278000 	4835 	1986 	1/5 	on 	hyvä 	vuokra 	F2007
Alppiharju 	2h, k, kph, las... 	kt 	58,00 	305000 	5259 	1961 	2/8 	on 	tyyd. 	oma 	
Hakaniemi 	2H+KT+S 	kt 	60,00 	470000 	7833 	1913 	5/5 	on 	hyvä 	oma 	E2007
Koskela 	2 h, k, kh, p 	kt 	63,00 	200500 	3183 	1972 	1/6 	on 	tyyd. 	vuokra 	
Pihlajamäki 	2-3h, k, kph, v... 	kt 	66,00 	132000 	2000 	1964 	1/8 	on 	tyyd. 	vuokra 	G
Taka-töölö 	2h, k, kph, s, ... 	kt 	77,50 	600000 	7742 	2000 	-1/9 	on 	hyvä 	oma 	D2007
Tammisalo 	2h, avok, kph, p 	kt 	37,00 	177000 	4784 	1961 	1/2 	ei 	hyvä 	oma 	E2007
Hermanni 	2h+k+kph+las.pa... 	kt 	46,50 	276000 	5935 	1962 	3/4 	ei 	hyvä 	vuokra 	E2007
Taka-töölö 	2h,avok,kph,alkovi 	kt 	46,50 	324800 	6985 	1935 	1/7 	ei 	hyvä 	oma 	D2007
Käpylä 	2h+k+kph+parveke 	kt 	60,50 	314000 	5190 	1952 	2/4 	ei 	hyvä 	vuokra 	E2013
Heikinlaakso 	2h + k + kph + ... 	kt 	62,00 	152000 	2452 	1980 	3/3 	ei 	tyyd. 	oma 	D2007
Kallio 	2h+kk+kh 	kt 	35,00 	217000 	6200 	1940 	1/6 	on 	hyvä 	oma 	F2013
Etelä-haaga 	2h, kk, vh, kph, p 	kt 	46,00 	258000 	5609 	1963 	1/4 	ei 	hyvä 	oma 	D2007
Kamppi 	2h+k+s 	kt 	46,00 	580000 	12609 	2005 	5/6 	on 	hyvä 	oma 	D2007
Kamppi 	2h+kt+kh 	kt 	48,50 	360000 	7423 	1929 	3/5 	on 	tyyd. 	oma 	G2013
Myllypuro 	2h, k 	kt 	52,50 	174000 	3314 	1966 	3/3 	ei 	hyvä 	vuokra 	
Lauttasaari 	2h, k, kph, par... 	kt 	53,00 	367082 	6926 	1965 	2/5 	on 	hyvä 	oma 	F2007
Punavuori 	2h, k, kph 	kt 	53,00 	415000 	7830 	1928 	5/5 	on 	tyyd. 	oma 	G2013
Punavuori 	2 h+k 	kt 	57,00 	445000 	7807 	1957 	6/6 	on 	tyyd. 	oma 	E2013
Munkkiniemi 	2 h, k, kph, vh... 	kt 	59,50 	425000 	7143 	1967 	6/6 	on 	hyvä 	oma 	E2018
Oulunkylä 	2h+k+s+parvi 	kt 	62,00 	402000 	6484 	2015 	1/2 	on 	hyvä 	oma 	C2013
Malminkartano 	2h+avok+kph+par... 	kt 	38,00 	172000 	4526 	2019 	2/4 	on 	hyvä 	vuokra 	C2013
Kamppi 	2h, k, kph 	kt 	43,50 	392000 	9011 	1932 	5/7 	on 	hyvä 	oma 	D2013
Tapanila 	2h, k 	kt 	49,00 	146000 	2980 	1971 	3/3 	ei 	tyyd. 	oma 	F
Vuosaari 	2h, k 	kt 	49,00 	160000 	3265 	1966 	1/3 	ei 	hyvä 	oma 	
Viikki 	2h, kk, kph/s, ... 	kt 	50,50 	259000 	5129 	2004 	5/5 	on 	hyvä 	oma 	E
Aurinkolahti 	2 h + kk + s 	kt 	54,50 	246607 	4525 	2005 	1/7 	on 	hyvä 	oma 	
Myllypuro 	2h+k+las.parveke 	kt 	57,50 	166000 	2887 	1965 	3/8 	on 	hyvä 	vuokra 	
Alppila 	2h+avok 	kt 	36,00 	265000 	7361 	1941 	2/5 	on 	hyvä 	oma 	D2018
Etu-töölö 	2h, kt, erill. ... 	kt 	43,00 	358000 	8326 	1922 	1/6 	on 	hyvä 	oma 	F2013
Kallio 	Kerrostalohuone... 	kt 	45,00 	295000 	6556 	1938 	2/7 	ei 	hyvä 	oma 	
Roihuvuori 	2h, k, kh, las.... 	kt 	53,00 	257000 	4849 	1966 	1/3 	ei 	hyvä 	oma 	E2013
Vuosaari 	2h, k, sauna, l... 	kt 	55,50 	175000 	3153 	1991 	3/3 	ei 	hyvä 	vuokra 	D2007
Oulunkylä 	2 h, k, kh, s, p 	kt 	58,50 	188000 	3214 	1990 	1/3 	on 	tyyd. 	vuokra 	E2007
Pihlajamäki 	2h+k+kh+wc 	kt 	60,00 	183000 	3050 	1965 	3/4 	ei 	hyvä 	vuokra 	D2018
Viikinmäki 	2H+KT+S 	kt 	65,00 	394500 	6069 	2020 	2/2 	on 	hyvä 	oma 	C2013
Oulunkylä 	2h, kk, kph, vh... 	kt 	50,00 	213350 	4267 	1955 	3/4 	on 	hyvä 	vuokra 	C2018
Aurinkolahti 	2h, k, kph, s, ... 	kt 	53,50 	252000 	4710 	2007 	1/2 	ei 	hyvä 	oma 	C2007
Maunula 	2h+k+kh 	kt 	54,00 	181000 	3352 	1953 	2/3 	ei 	tyyd. 	vuokra 	F2013
Kaartinkaupunki 	2h, avok, kph 	kt 	55,00 	485000 	8818 	1927 	2/6 	on 	hyvä 	oma 	F2014
Tapaninvainio 	2h+k+kph 	kt 	58,00 	150000 	2586 	1966 	1/2 	ei 	tyyd. 	oma 	F2013
Kallio 	2h, k, erill. w... 	kt 	67,60 	371000 	5488 	1927 	2/7 	on 	tyyd. 	oma 	F2013
Vallila 	2h 	kt 	38,00 	245000 	6447 	1939 	3/4 	on 	hyvä 	oma 	F2013
Kallio 	2h, kk, kph 	kt 	42,00 	275000 	6548 	1960 	2/7 	on 	hyvä 	oma 	F2013
Roihuvuori 	2h+k+vh+kph+p 	kt 	50,00 	203000 	4060 	1957 	3/4 	ei 	hyvä 	vuokra 	
Malmi 	2h, avok, kph, ... 	kt 	55,00 	242000 	4400 	2013 	1/3 	on 	hyvä 	vuokra 	D2013
Munkkiniemi 	2h + kk 	kt 	39,00 	265000 	6795 	1954 	3/4 	ei 	hyvä 	oma 	F2007
Pohjois-haaga 	2 h, k, kph, p ... 	kt 	45,00 	233000 	5178 	1957 	3/4 	ei 	tyyd. 	vuokra 	E2007
Oulunkylä 	2 h, k, p 	kt 	52,80 	165000 	3125 	1967 	1/3 	ei 	tyyd. 	oma 	E2018
Käpylä 	2h, k 	kt 	65,00 	276000 	4246 	1923 	1/3 	ei 	tyyd. 	vuokra 	D2007
Taka-töölö 	2h, avok, kph 	kt 	39,00 	281000 	7205 	1939 	3/5 	on 	hyvä 	oma 	F
Metsälä 	2h, k, kph, p 	kt 	44,00 	188000 	4273 	1950 	2/2 	ei 	tyyd. 	oma 	
Punavuori 	2h, alkovi, k, ... 	kt 	78,00 	628000 	8051 	1907 	3/4 	ei 	hyvä 	oma 	D2018
Konepaja 	2h, avok, kph, ... 	kt 	57,50 	365000 	6348 	2013 	1/7 	on 	hyvä 	oma 	C2018
Ruskeasuo 	2h, avokeitti&#... 	kt 	63,00 	362000 	5746 	1951 	2/3 	ei 	tyyd. 	oma 	E2007
Kannelmäki 	2h+kk 	kt 	43,00 	164000 	3814 	1961 	1/4 	ei 	tyyd. 	vuokra 	E2013
Konala 	2h, k 	kt 	44,00 	180766 	4108 	1962 	1/3 	ei 	tyyd. 	oma 	E2018
Pohjois-haaga 	2h, k, kph, p 	kt 	50,00 	260000 	5200 	1952 	4/4 	ei 	hyvä 	oma 	D2013
Kamppi 	2h+kt+kh 	kt 	50,00 	350000 	7000 	1929 	3/5 	on 	tyyd. 	oma 	G2013
Puotinharju 	2h+k+kph+vh+las... 	kt 	59,00 	199000 	3373 	1964 	1/4 	ei 	hyvä 	vuokra 	
Malminkartano 	2h, k, kph 	kt 	62,50 	136000 	2176 	1982 	2/4 	ei 	tyyd. 	vuokra 	E2007
Jätkäsaari 	2 h, avokeitti&... 	kt 	64,50 	469000 	7271 	2016 	3/6 	on 	hyvä 	oma 	B2013
Sörnäinen 	2h, avok, kph, p 	kt 	43,60 	290000 	6651 	1961 	5/8 	on 	hyvä 	oma 	F2013
Suurmetsä 	2h, kk 	kt 	50,50 	110000 	2178 	1974 	3/3 	ei 	hyvä 	vuokra 	F2013
Taka-töölö 	2h, kk, alkovi 	kt 	55,00 	325000 	5909 	1932 	3/7 	on 	tyyd. 	oma 	E2007
Kannelmäki 	2 h, k, kph, pa... 	kt 	48,00 	172000 	3583 	1958 	3/3 	ei 	tyyd. 	vuokra 	G2013
Lauttasaari 	2h+avok+vh+p (y... 	kt 	63,00 	390000 	6190 	1943 	2/3 	ei 	hyvä 	oma 	F2007
Kalasatama 	2h, kk, kph, la... 	kt 	33,50 	285000 	8507 	2013 	4/8 	on 	hyvä 	oma 	
Harju 	2h+avok. 	kt 	38,00 	283867 	7470 	1938 	4/6 	on 	hyvä 	oma 	D2013
Länsi-pasila 	2h, avok, kh, l... 	kt 	52,50 	242000 	4610 	1987 	1/4 	ei 	tyyd. 	vuokra 	E2007
Oulunkylä 	2h+k+kph+p 	kt 	53,50 	228000 	4262 	1979 	2/2 	ei 	tyyd. 	vuokra 	E2013
Lauttasaari 	2h, kk, kph, pa... 	kt 	34,00 	259000 	7618 	1962 	4/4 	on 	tyyd. 	oma 	G2013
Vuosaari 	Senioriasunto 2... 	kt 	47,50 	215000 	4526 	2004 	2/11 	on 	hyvä 	oma 	E2013
Toukola 	2h 	kt 	49,00 	278000 	5673 	1953 	1/2 	ei 	hyvä 	vuokra 	
Konala 	2h, k, kph, vh,... 	kt 	54,00 	125000 	2315 	1968 	3/4 	on 	tyyd. 	oma 	
Kallio 	2h, alkovi, kk,... 	kt 	57,50 	328000 	5704 	1927 	4/5 	on 	hyvä 	oma 	
Kivikko 	2h, avok, rt, k... 	kt 	59,50 	187000 	3143 	1999 	5/5 	on 	hyvä 	vuokra 	F2013
Käpylä 	2h, kk, kph ja ... 	kt 	38,00 	217500 	5724 	1944 	1/3 	ei 	tyyd. 	vuokra 	F2013
Konala 	2h, kk, kph, parv 	kt 	43,00 	165000 	3837 	1964 	2/4 	on 	tyyd. 	oma 	D2007
Pihlajisto 	2+K+SAUNA 	kt 	55,50 	115000 	2072 	1978 	4/4 	ei 	tyyd. 	vuokra 	F2007
Kruununhaka 	2h+kk+kph 	kt 	34,00 	262000 	7706 	1936 	5/6 	on 	hyvä 	oma 	F2007
Punavuori 	2h, kk, kph, pa... 	kt 	38,00 	350000 	9211 	1963 	6/6 	on 	huono 	oma 	G2013
