location 	rooms 	housetype 	area 	price 	unitprice 	year 	floor 	elevator 	condition 	lot 	energy
Puistola 	4h+k+s 	kt 	85,00 	227362 	2675 	1986 	1/2 	ei 	tyyd. 	vuokra 	
Puistola 	4h, k, s/ph, wc, p 	rt 	100,00 	315000 	3150 	1988 	-1/2 	ei 	tyyd. 	oma 	
Lauttasaari 	5h, k, kph, wc,... 	kt 	109,00 	520000 	4771 	1970 	2/7 	ei 	hyvä 	oma 	
Vuosaari 	5h+k+th+kph+s+2xwc 	rt 	122,50 	360000 	2939 	1975 	1/1 	ei 	hyvä 	oma 	
Tammisalo 	4h, k, vh, kph,... 	rt 	135,00 	413250 	3061 	1975 	1/2 	ei 	tyyd. 	oma 	G2013
Laajasalo 	4h, k, kph, las... 	kt 	86,90 	183000 	2106 	1969 	3/3 	ei 	tyyd. 	vuokra 	
Länsi-pasila 	4h+k+s 	kt 	95,00 	477000 	5021 	1984 	3/3 	ei 	hyvä 	vuokra 	F2013
Rastila 	4h+k+s 	rt 	110,00 	329706 	2997 	1972 	1/1 	ei 	tyyd. 	oma 	E2013
Malmi 	4 h, avok/rt/oh... 	rt 	115,00 	370000 	3217 	1998 	1/2 	ei 	hyvä 	vuokra 	
Etu-töölö 	5-6h+avok+kph+w... 	kt 	145,50 	1400000 	9622 	1910 	5/5 	ei 	hyvä 	oma 	
Laajasalo 	3-4 h, avokeitt... 	rt 	77,00 	419000 	5442 	1982 	1/1 	ei 	hyvä 	oma 	D
Vuosaari 	4h, k, kph, sau... 	kt 	88,50 	304000 	3435 	2001 	4/4 	ei 	hyvä 	vuokra 	
Länsi-pakila 	4h+k+2kph+s+khh... 	ok 	105,00 	365801 	3484 	1953 	1/3 	ei 	hyvä 	oma 	
Puotinharju 	4h, k 	kt 	81,00 	210000 	2593 	1963 	6/7 	on 	tyyd. 	vuokra 	E2007
Munkkiniemi 	4h, k, kph, las... 	kt 	87,00 	562000 	6460 	1958 	3/4 	on 	hyvä 	oma 	
Katajanokka 	3-4h, k, 2th, k... 	kt 	175,00 	2249000 	12851 	1940 	-1/8 	on 	hyvä 	oma 	C2018
Länsi-pakila 	5-6h+k+kph/s+wc... 	rt 	199,00 	318000 	1598 	1971 	2/2 	ei 	tyyd. 	oma 	E2013
Jätkäsaari 	5h, kt, s 	kt 	110,00 	581900 	5290 	2021 	7/7 	on 	hyvä 	vuokra 	B2018
Suutarila 	5 h,k,s, aula, ... 	ok 	132,00 	419000 	3174 	2011 	  	ei 	hyvä 	vuokra 	B2018
Itä-pakila 	4h, k, s, erill... 	rt 	77,50 	210000 	2710 	1980 	1/1 	ei 	tyyd. 	oma 	E2018
Suurmetsä 	4h+k 	kt 	97,00 	142000 	1464 	1974 	1/3 	ei 	tyyd. 	vuokra 	
Munkkivuori 	4-5h+k (yhti... 	kt 	83,00 	408000 	4916 	1956 	5/8 	on 	hyvä 	vuokra 	E2007
Vuosaari 	4h, k, s 	kt 	94,50 	243000 	2571 	2001 	2/7 	on 	hyvä 	vuokra 	F2013
Lassila 	4h+k+s 	rt 	99,00 	370000 	3737 	1982 	1/2 	ei 	  	oma 	D2013
Puistola 	5h+k+kph+s+eril... 	rt 	103,00 	285000 	2767 	1983 	1/2 	ei 	tyyd. 	oma 	
Tapaninkylä 	3 mh, oh, k, tk... 	rt 	105,00 	327000 	3114 	1987 	1/1 	ei 	tyyd. 	oma 	C2018
Länsi-pakila 	4h, k, rt, s, k... 	rt 	112,00 	340000 	3036 	1971 	1/1 	ei 	hyvä 	oma 	
Paloheinä 	5 h, k, kph/2wc... 	ok 	159,00 	535000 	3365 	2001 	2/2 	ei 	hyvä 	oma 	E2013
Kruununhaka 	4h, k, 2kph, sa... 	kt 	172,50 	1100000 	6377 	1916 	2/5 	on 	hyvä 	oma 	
Oulunkylä 	4h, k, kph, par... 	kt 	71,00 	212000 	2986 	1962 	2/3 	ei 	tyyd. 	oma 	E2007
Konepaja 	4h, avok, kph, ... 	kt 	82,50 	520000 	6303 	2018 	3/6 	on 	hyvä 	oma 	C2013
Pihlajamäki 	4 h, avokeitti&... 	kt 	84,50 	300000 	3550 	1962 	1/2 	ei 	hyvä 	vuokra 	E2018
Paloheinä 	4h,k,kph,s,vh 	rt 	94,00 	359000 	3819 	1976 	1/1 	ei 	hyvä 	oma 	E2013
Kulosaari 	5h+k+rt+2xparve... 	rt 	174,00 	885500 	5089 	1964 	1/2 	ei 	hyvä 	oma 	E2013
Pihlajamäki 	3-4h, r, kk 	kt 	73,00 	193000 	2644 	1964 	3/3 	ei 	hyvä 	vuokra 	E2007
Vuosaari 	4h,k,kph,las.parv. 	kt 	83,30 	186000 	2233 	1964 	2/3 	ei 	tyyd. 	oma 	
Tapaninvainio 	4h, k, s/ph, wc... 	rt 	94,00 	270000 	2872 	1974 	1/1 	ei 	tyyd. 	oma 	E2018
Oulunkylä 	4h, k, s, kph, ... 	rt 	104,00 	375000 	3606 	1974 	1/1 	ei 	tyyd. 	oma 	E
Kamppi 	4h, avok, kph, ... 	kt 	123,50 	940000 	7611 	1924 	3/6 	on 	hyvä 	oma 	D2013
Meilahti 	4h, k, 2kph, wc, p 	kt 	134,00 	700000 	5224 	1946 	3/5 	ei 	hyvä 	oma 	D2007
Eiranranta 	4h, avok, 2 kph... 	kt 	158,00 	1210000 	7658 	2007 	-1/8 	on 	hyvä 	oma 	F2014
Tammisalo 	5-6h, k, saunao... 	ok 	241,00 	918000 	3809 	1999 	1/2 	ei 	hyvä 	oma 	
Laajasalo 	4h, k, kph, er... 	kt 	78,00 	276000 	3538 	1965 	1/4 	on 	tyyd. 	oma 	F2013
Roihuvuori 	4-5 h, k, kph, p 	kt 	86,00 	305500 	3552 	1958 	4/4 	ei 	tyyd. 	vuokra 	G2013
Konala 	4h, k, s 	rt 	102,00 	372000 	3647 	2004 	1/2 	ei 	hyvä 	oma 	A2007
Paloheinä 	4h, k, s, kph, ... 	rt 	110,00 	310000 	2818 	1976 	-1/2 	ei 	tyyd. 	oma 	
Etelä-haaga 	4-5h+k+kph+wc+vh+p 	kt 	118,50 	565000 	4768 	1972 	3/4 	on 	hyvä 	oma 	F2015
Ullanlinna 	4h, k, kph, 2 e... 	kt 	124,00 	750000 	6048 	1929 	1/6 	on 	tyyd. 	oma 	F2016
Maununneva 	2mh,oh,k/rt,vh,... 	rt 	127,00 	390000 	3071 	1990 	2/2 	ei 	tyyd. 	oma 	E2018
Pihlajamäki 	4 h + k + parve... 	kt 	68,00 	154000 	2265 	1963 	2/4 	ei 	tyyd. 	vuokra 	F2013
Hallainvuori 	4h,k,kph,s,wc,p... 	rt 	82,00 	340000 	4146 	2008 	1/2 	ei 	hyvä 	oma 	B2007
Paloheinä 	4 h, avok., 2kp... 	rt 	127,50 	436000 	3420 	1989 	3/3 	ei 	hyvä 	oma 	E2013
Maununneva 	4h, k, kph, eri... 	rt 	78,00 	344000 	4410 	1985 	1/1 	ei 	hyvä 	oma 	E2013
Mellunkylä 	4-5h, k, kph, v... 	ok 	140,00 	335000 	2393 	1965 	1/1 	ei 	tyyd. 	oma 	D2018
Munkkivuori 	4h+k+sauna+aska... 	rt 	173,00 	748000 	4324 	1957 	3/3 	ei 	hyvä 	oma 	E2018
Metsälä 	oh+3 mh+ateljee... 	ok 	177,00 	965000 	5452 	2019 	2/2 	on 	hyvä 	oma 	A2018
Etu-töölö 	4h+k+kph+khh+er... 	kt 	108,50 	660000 	6083 	1927 	4/7 	on 	tyyd. 	oma 	
Etu-töölö 	5h, avok, kph, ... 	kt 	112,00 	849000 	7580 	2015 	2/6 	on 	hyvä 	oma 	C2003
Vanhankaupunginkoski 	4h, k, s, 2kph,... 	rt 	152,50 	852000 	5587 	2011 	-1/3 	ei 	hyvä 	vuokra 	A2007
Käpylä 	4h+k 	kt 	94,00 	305000 	3245 	1928 	4/4 	ei 	tyyd. 	vuokra 	E2007
Roihuvuori 	4h, kt, s 	kt 	84,00 	353900 	4213 	2017 	3/6 	on 	hyvä 	vuokra 	C
Mellunkylä 	4h, k, rt, wc (... 	ok 	120,00 	381000 	3175 	1961 	-1/2 	ei 	tyyd. 	oma 	
Vuosaari 	4h, k, parveke 	kt 	82,00 	185000 	2256 	1964 	3/3 	ei 	tyyd. 	oma 	
Malminkartano 	5h,k,kph,psh/kh... 	kt 	115,00 	263000 	2287 	1988 	3/4 	ei 	tyyd. 	vuokra 	F2013
Itä-pakila 	6h, k, kph/wc, ... 	ok 	176,00 	550000 	3125 	1940 	3/3 	ei 	hyvä 	oma 	C2018
Kontula 	4h,k,kph,erill.... 	kt 	91,00 	184000 	2022 	1967 	1/3 	ei 	hyvä 	oma 	E2007
Oulunkylä 	5h+k+s+kph+eril... 	rt 	97,50 	342000 	3508 	1985 	2/2 	ei 	tyyd. 	vuokra 	E2013
Puistola 	5 h, k, rt ,s, ... 	rt 	104,00 	285000 	2740 	1983 	1/2 	ei 	tyyd. 	oma 	E2018
Länsi-pakila 	k, iso olohuone... 	ok 	135,00 	605000 	4481 	1953 	  	ei 	hyvä 	oma 	
Töölö 	4-5h, k, palvel... 	kt 	141,00 	783500 	5557 	1953 	4/7 	on 	hyvä 	oma 	F2013
Myllypuro 	6H+K+S+2 x WC, ... 	ok 	229,00 	755000 	3297 	2012 	  	ei 	hyvä 	oma 	B2007
Lauttasaari 	4-5h+k+s 	rt 	94,00 	720000 	7660 	1954 	3/3 	ei 	hyvä 	oma 	
Länsi-pasila 	4h, k, s, parv. 	kt 	96,50 	362000 	3751 	1986 	3/5 	on 	tyyd. 	vuokra 	F2013
Pukinmäki 	4h+k+2xerill.wc... 	rt 	76,00 	255000 	3355 	1989 	2/2 	ei 	tyyd. 	oma 	E2015
Taka-töölö 	4-5h+k+kph+eril... 	kt 	85,00 	490000 	5765 	1936 	2/7 	ei 	hyvä 	oma 	D2007
Hakuninmaa 	3-4mh,oh,k,s,kp... 	ok 	128,00 	550000 	4297 	2016 	2/2 	ei 	hyvä 	oma 	B2013
Tapaninvainio 	päära... 	ok 	142,00 	640000 	4507 	2008 	1/2 	ei 	hyvä 	vuokra 	
Länsi-pakila 	4 h, avok. rt, ... 	rt 	177,00 	605000 	3418 	2013 	2/2 	ei 	hyvä 	oma 	A2007
Vartiokylä 	6 h, k, 2 kph, ... 	ok 	207,00 	560000 	2705 	1977 	-1/2 	ei 	tyyd. 	oma 	B2018
Vuosaari 	4h, k 	kt 	78,00 	195000 	2500 	1966 	3/3 	ei 	tyyd. 	oma 	
Roihuvuori 	4h+avok+kph+s+p 	kt 	89,00 	275000 	3090 	1991 	4/8 	on 	hyvä 	vuokra 	D2007
Laajasalo 	4h+k 	kt 	83,00 	330000 	3976 	1972 	3/5 	on 	tyyd. 	oma 	F2013
Kannelmäki 	4h+k+kph+et+vh+... 	kt 	84,50 	289000 	3420 	1959 	2/4 	ei 	tyyd. 	vuokra 	E2013
Pihlajisto 	4h + k + kph + ... 	kt 	95,00 	210000 	2211 	1972 	5/8 	on 	hyvä 	oma 	F2013
Länsi-pakila 	5h,k,s,iso l... 	rt 	130,00 	380000 	2923 	1972 	1/1 	ei 	tyyd. 	oma 	
Punavuori 	4h,avokeitti... 	kt 	94,00 	828000 	8809 	1963 	3/7 	on 	hyvä 	oma 	F2013
Puotila 	6h, k, 2xwc, kp... 	kt 	122,50 	330000 	2694 	1971 	3/3 	ei 	hyvä 	oma 	E2007
Puotinharju 	4h, k, kph, 2vh... 	kt 	81,00 	216000 	2667 	1963 	4/7 	on 	tyyd. 	vuokra 	E2007
Herttoniemi 	4h, k 	rt 	94,00 	310000 	3298 	1957 	  	ei 	hyvä 	vuokra 	
Katajanokka 	3-4h, k, s, las... 	kt 	94,50 	750000 	7937 	2007 	4/5 	on 	hyvä 	oma 	
Vartiokylä 	5 - 6h, avok, s... 	rt 	185,00 	630000 	3405 	2007 	3/3 	ei 	hyvä 	oma 	
Taka-töölö 	4 H + AVOK + PH... 	kt 	67,00 	440000 	6567 	1937 	5/6 	on 	hyvä 	oma 	E
Herttoniemi 	4h, k, kph 	kt 	85,00 	395000 	4647 	1955 	2/4 	on 	hyvä 	vuokra 	F2013
Puistola 	3h+k+kh+,takkah... 	rt 	110,20 	266200 	2416 	1992 	3/3 	ei 	tyyd. 	oma 	
Tapaninvainio 	4h+k+2 wc+kph+s... 	ok 	124,00 	385000 	3105 	1949 	3/3 	ei 	hyvä 	oma 	
Torpparinmäki 	4h,k,s,ask.h,pu... 	ok 	140,00 	439000 	3136 	1995 	  	ei 	tyyd. 	vuokra 	D2018
Metsälä 	oh+3 mh+ateljee... 	rt 	177,00 	965000 	5452 	2019 	2/2 	on 	hyvä 	oma 	A2018
Roihuvuori 	4h+k+s 	kt 	89,00 	238000 	2674 	1991 	3/8 	on 	tyyd. 	vuokra 	E2013
Tapanila 	4h, k, s/ph, 2x... 	rt 	91,00 	320000 	3516 	1995 	-1/2 	ei 	tyyd. 	oma 	E2108
Vuosaari 	4h,k,kph,s,2wc,... 	kt 	101,00 	235000 	2327 	1993 	4/5 	on 	tyyd. 	vuokra 	D2007
Malmi 	5h+k/rt+khh/wc+... 	ok 	160,00 	495000 	3094 	2010 	  	ei 	hyvä 	vuokra 	A2007
Hakuninmaa 	2-3mh,oh,rt,k,2... 	ok 	80,00 	278000 	3475 	1981 	1/1 	ei 	hyvä 	oma 	D2018
Herttoniemi 	4h+k+vh+p 	kt 	86,50 	382000 	4416 	1955 	1/4 	ei 	tyyd. 	vuokra 	G2013
Kuusisaari 	5-6h+k+rh+sauna... 	rt 	179,00 	965000 	5391 	2006 	3/3 	ei 	hyvä 	oma 	D2018
Itä-pakila 	3-4h+k+kph+parv 	kt 	80,00 	313000 	3913 	1963 	1/2 	ei 	hyvä 	oma 	
Laajasalo 	4h, avok, kph, ... 	kt 	87,00 	388000 	4460 	2016 	2/5 	on 	hyvä 	vuokra 	C2013
Taka-töölö 	4h, k, kph, khh 	kt 	87,00 	530000 	6092 	1939 	6/7 	on 	tyyd. 	oma 	
Koskela 	4h+k 	kt 	87,50 	184822 	2112 	1973 	1/3 	ei 	tyyd. 	vuokra 	F2013
Kulosaari 	4h, k 	kt 	88,50 	472000 	5333 	1962 	4/4 	ei 	tyyd. 	oma 	E2007
Mellunmäki 	4h, k, s 	rt 	89,00 	384000 	4315 	2011 	-1/1 	ei 	hyvä 	oma 	B
Vesala 	4 h, k, kph, wc... 	rt 	94,00 	189000 	2011 	1977 	1/2 	ei 	tyyd. 	vuokra 	F2007
Myllypuro 	4h, k, kph, eri... 	kt 	103,50 	212000 	2048 	1964 	4/4 	on 	hyvä 	vuokra 	F2007
Etelä-haaga 	5h, k, ruokailu... 	kt 	111,00 	590000 	5315 	1965 	3/3 	ei 	hyvä 	oma 	E2007
Itä-pakila 	5-6h+k+2 wc/suihku 	rt 	120,00 	379000 	3158 	1964 	1/1 	ei 	hyvä 	oma 	
Katajanokka 	5h,k,kph,eril.w... 	kt 	203,00 	1200000 	5911 	1903 	3/6 	on 	  	oma 	E2007
Lauttasaari 	4h+k+kph+parveke 	kt 	74,00 	490500 	6628 	1938 	4/7 	on 	hyvä 	oma 	F2013
Suutarila 	4h, k, s, kph, ... 	rt 	105,00 	277000 	2638 	1982 	-1/2 	ei 	hyvä 	vuokra 	D2013
Viikinmäki 	5h,k,wc,khh/wc,s,p 	kt 	113,00 	400000 	3540 	2014 	1/5 	on 	hyvä 	vuokra 	C2007
Suutarila 	4h, k, s, kph, ... 	ok 	142,00 	475000 	3345 	2009 	-1/2 	ei 	hyvä 	vuokra 	
Torpparinmäki 	6h, k, s, tkh, ... 	ok 	179,00 	465000 	2598 	1982 	-1/3 	ei 	tyyd. 	oma 	D2018
Puistola 	4h, k, kph, wc,... 	rt 	91,50 	305000 	3333 	1966 	1/1 	ei 	hyvä 	oma 	
Lassila 	4 h, k, kph, s,... 	rt 	96,50 	337000 	3492 	1986 	1/2 	ei 	hyvä 	vuokra 	E2013
Tapaninvainio 	4h, k, pesuh, l... 	rt 	100,00 	300000 	3000 	1984 	1/1 	ei 	tyyd. 	oma 	
Myllypuro 	4-5 h, k, sauna... 	rt 	143,00 	430000 	3007 	2012 	3/3 	ei 	hyvä 	vuokra 	
Ullanlinna 	4h+k+kph+s+wc+e... 	kt 	158,00 	1580000 	10000 	1897 	2/5 	on 	hyvä 	oma 	G2013
Pikku huopalahti 	4-5h, k, saunos... 	kt 	112,50 	425000 	3778 	1991 	4/5 	on 	hyvä 	vuokra 	F2013
Tapanila 	4h,k,s 	rt 	89,00 	335000 	3764 	1996 	1/2 	ei 	hyvä 	oma 	E2007
Länsi-pakila 	4h, k, s, ullak... 	rt 	89,00 	585000 	6573 	2020 	1/1 	ei 	hyvä 	oma 	B2018
Puistola 	4h, k, s/ph, wc 	rt 	98,50 	259000 	2629 	1984 	-1/2 	ei 	tyyd. 	vuokra 	E2007
Fallpakka 	5h, k, kph, s, ... 	rt 	112,00 	340000 	3036 	1990 	1/1 	ei 	hyvä 	oma 	E2007
Puistola 	4 h, k/rt, kh/s... 	ok 	115,50 	500000 	4329 	1996 	1/1 	ei 	hyvä 	oma 	C2018
Ullanlinna 	5h,k, parveke 	kt 	148,50 	1302587 	8772 	1962 	2/7 	on 	hyvä 	oma 	F2013
Oulunkylä 	5 h+k+s+kh 	rt 	110,50 	459000 	4154 	1988 	2/2 	ei 	hyvä 	oma 	
Vuosaari 	4h, k, las. par... 	kt 	82,00 	190000 	2317 	1964 	1/3 	ei 	tyyd. 	oma 	
Oulunkylä 	4h+k+s 	rt 	98,00 	325000 	3316 	1980 	2/2 	ei 	tyyd. 	oma 	E2007
Malminkartano 	4h+k+s+terassi+... 	rt 	106,00 	241000 	2274 	1987 	2/2 	ei 	hyvä 	vuokra 	E2013
Jätkäsaari 	5h+k+rt+2xkph+2... 	kt 	111,50 	531000 	4762 	2013 	7/7 	on 	hyvä 	vuokra 	A2007
Tammisalo 	4-5h+kt+2xkph+v... 	kt 	119,50 	488250 	4086 	1962 	2/2 	ei 	hyvä 	oma 	
Lauttasaari 	4h + k + s + as... 	kt 	178,50 	939000 	5261 	1985 	2/2 	on 	hyvä 	oma 	E2018
Myllypuro 	As 1: 4-5h, avo... 	ok 	271,00 	530000 	1956 	1965 	2/2 	ei 	hyvä 	oma 	
Pukinmäki 	4h, k, eril wc,... 	rt 	76,00 	257000 	3382 	1989 	2/2 	ei 	hyvä 	oma 	E2015
Roihuvuori 	5h+k 	kt 	102,00 	386000 	3784 	1957 	3/3 	ei 	hyvä 	vuokra 	D2007
Munkkiniemi 	4h+k+rt+kph+s+e... 	kt 	103,50 	560000 	5411 	1988 	3/5 	on 	tyyd. 	vuokra 	F2013
Tapaninvainio 	5 h, k, khh, kh... 	ok 	136,00 	520000 	3824 	2010 	1/2 	ei 	hyvä 	oma 	C2018
Veräjämäki 	4h, k, 2xkph, s... 	rt 	151,00 	515000 	3411 	1975 	1/1 	ei 	hyvä 	oma 	
Paloheinä 	3mh+rh+oh+k+s+3... 	ok 	180,00 	854000 	4744 	2009 	-1/3 	ei 	hyvä 	oma 	B2018
Meri-rastila 	4h, k, s, erill... 	kt 	78,50 	216000 	2752 	1990 	2/3 	on 	hyvä 	vuokra 	E2013
Vuosaari 	4h+k+kph+vh+las... 	kt 	82,00 	205000 	2500 	1964 	1/3 	ei 	hyvä 	oma 	
Töölö 	4 h+k+kph+ 2 er... 	kt 	100,00 	500000 	5000 	1926 	1/6 	on 	hyvä 	oma 	
